指标名称,MACD金叉,26/55均线金叉,组合_MACD+均线多头,海龟交易法
回测周期_天,311.0,311.0,311.0,311.0
起始资金,100000.0,100000.0,100000.0,100000.0
最终资金,102887.09,98944.58,93802.61,91072.27
总收益率_%,2.89,-1.06,-6.2,-8.93
基准回报率_%,2.62,2.62,2.62,2.62
最大总敞口_%,100.0,100.0,100.0,100.0
总费用,3226.6,501.98,1504.08,1187.83
最大回撤_%,13.09,11.97,12.91,17.55
最大回撤持续时间_天,186.0,186.0,186.0,262.0
总交易次数,16.0,3.0,8.0,6.0
已平仓交易总次数,15.0,2.0,7.0,6.0
胜率_%,60.0,50.0,42.86,16.67
最佳交易_%,4.75,1.25,2.56,2.3
最差交易_%,-5.23,-1.43,-5.23,-3.79
平均盈利收益率_%,1.82,1.25,2.1,2.3
平均亏损收益率_%,-2.0,-1.43,-2.83,-2.29
平均获胜交易持续时间_天,5.0,51.0,5.0,30.0
平均亏损交易持续时间_天,5.0,32.0,5.0,13.0
利润因子,1.31,0.86,0.55,0.2
期望值,267.09,-102.31,-739.57,-1487.96
夏普比率,0.36,-0.05,-0.84,-0.69
卡尔玛比率,0.26,-0.1,-0.56,-0.59
欧米茄比率,1.11,0.98,0.7,0.83
索提诺比率,0.5,-0.07,-1.01,-0.84
