信号名称,股票代码,开始日期,结束日期,回测周期_天,起始资金,最终资金,总收益率_%,基准回报率_%,最大总敞口_%,总费用,最大回撤_%,最大回撤持续时间_天,总交易次数,已平仓交易总次数,胜率_%,最佳交易_%,最差交易_%,平均盈利收益率_%,平均亏损收益率_%,平均获胜交易持续时间_天,平均亏损交易持续时间_天,利润因子,期望值,夏普比率,卡尔玛比率,欧米茄比率,索提诺比率
MACD金叉,600036.SH,2025-01-02,2026-04-17,311,100000.0,102887.08619348005,2.887086193480049,2.622695403791009,100.0,3226.5951120230366,13.092158896006072,186,16,15,60.0,4.74831775700937,-5.234859302813937,1.8214189732373807,-2.0005457701713305,5,5,1.3091879743802164,267.0881133464386,0.35715750312764505,0.2594535516713877,1.1070632075139442,0.49980024196773454
MACD金叉,000001.SZ,2025-01-02,2026-04-17,311,100000.0,95018.82730958021,-4.981172690419785,-3.6745406824148175,100.0,2508.8305030430606,9.546642466823954,196,13,13,46.15384615384615,2.3681233933162154,-3.2713592233009576,1.3219545030084012,-1.8352956186968146,5,5,0.6036298094902658,-383.167130032292,-0.684765000388176,-0.609683936760211,0.8103916379643864,-0.9591160958265862
MACD金叉,300059.SZ,2025-01-02,2026-04-17,311,100000.0,93162.50504572228,-6.837494954277718,-16.465193830762914,100.0,2292.845779833074,16.592494710409422,159,12,12,41.66666666666667,9.960699755899112,-8.494109461966605,4.693957230420176,-4.140234645761402,5,5,0.7591975692175689,-569.7912461898088,-0.27758273709880654,-0.4807083648354474,0.9053629431146238,-0.48304125151077565
26/55均线金叉,600036.SH,2025-01-02,2026-04-17,311,100000.0,98944.580489133,-1.0554195108669955,2.622695403791009,100.0,501.9844083814645,11.969467505386518,186,3,2,50.0,1.2478260869565476,-1.4347714552238684,1.2478260869565476,-1.4347714552238684,51,32,0.8589956665050782,-102.31315444898632,-0.054215382786575186,-0.10339117768647246,0.984886253386518,-0.06880596111482394
26/55均线金叉,000001.SZ,2025-01-02,2026-04-17,311,100000.0,99001.4781863227,-0.9985218136773037,-3.6745406824148175,100.0,503.00721746883073,12.317845858778437,186,3,2,50.0,1.914733276884005,-2.2318644067796582,1.914733276884005,-2.2318644067796582,61,24,0.8418053043088856,-179.7316128013291,-0.05520889927363344,-0.09505557205386844,0.9858928502720525,-0.08336222017269626
26/55均线金叉,300059.SZ,2025-01-02,2026-04-17,311,100000.0,116719.89737324046,16.719897373240457,-16.465193830762914,100.0,460.0380801033426,14.008993427879624,150,2,2,50.0,21.6721518987342,-4.057142857142841,21.6721518987342,-4.057142857142841,91,15,4.391044442329675,8359.948686620228,0.8352918174977467,1.420206914141382,1.2391160285603482,1.5397720308799794
组合_MACD+均线多头,600036.SH,2025-01-02,2026-04-17,311,100000.0,93802.61416523303,-6.197385834766974,2.622695403791009,100.0,1504.0833091440632,12.914609276818794,186,8,7,42.857142857142854,2.5558620689655256,-5.234859302813924,2.104315171419457,-2.8339952264696904,5,5,0.5541819774863922,-739.5676920698963,-0.8388433956528597,-0.5601127818757543,0.6964512862473298,-1.0127080713559584
组合_MACD+均线多头,000001.SZ,2025-01-02,2026-04-17,311,100000.0,97394.827114636,-2.605172885363994,-3.6745406824148175,100.0,1003.0408106694358,7.074232623428772,196,5,5,40.0,2.368123393316225,-3.2713592233009536,1.6702310176975141,-1.959003013266489,5,5,0.5620234469922823,-521.0345770728014,-0.4827107627503645,-0.4312202733933157,0.7804664890311555,-0.6845654434664606
组合_MACD+均线多头,300059.SZ,2025-01-02,2026-04-17,311,100000.0,91740.78634463702,-8.259213655362982,-16.465193830762914,100.0,916.0701169806903,15.671511970840015,278,5,5,20.0,9.96069975589912,-6.013852459016381,9.96069975589912,-4.41906629388839,5,5,0.5064641801598936,-1651.8427310725972,-0.6310616038402275,-0.6139893185023019,0.6944927268732546,-1.0930631355644298
海龟交易法,600036.SH,2025-01-02,2026-04-17,311,100000.0,91072.26700065368,-8.92773299934632,2.622695403791009,100.0,1187.831563372887,17.55284267014834,262,6,6,16.666666666666664,2.296299855838552,-3.7856430707876183,2.296299855838552,-2.286702951976755,30,13,0.20442516804109473,-1487.955499891053,-0.6901267840243983,-0.5921884927826891,0.8286463235012042,-0.8436142577803969
海龟交易法,000001.SZ,2025-01-02,2026-04-17,311,100000.0,99686.78451338358,-0.31321548661642007,-3.6745406824148175,100.0,914.6186278824634,11.651745692609836,186,5,4,25.0,10.418246235606746,-3.252971137521194,10.418246235606746,-3.1138784509362223,49,13,1.0436223307902202,105.22484061531168,0.026256454838431236,-0.03154034883849091,1.006273134650898,0.03845957241502882
海龟交易法,300059.SZ,2025-01-02,2026-04-17,311,100000.0,101538.20820666882,1.5382082066688163,-16.465193830762914,100.0,419.52043566555784,15.622486545935269,150,2,2,50.0,8.999125000000019,-6.8440860215053565,8.999125000000019,-6.8440860215053565,51,10,1.2064175182026615,769.104103334409,0.18716654640085797,0.11571098288686424,1.0628778079770338,0.3184890877039336
